External ID,Item Name,Item Description,Release Date,Expiry Date,Weight,Template ID,Enabled,EntityId,Classifications,Address,N/A,City,State,Zipcode,Country of domain purchase is made from
4835063,BackupBC,"<h3><a href=""http://www.backupbc.com"">BackupBC</a></h3>

<a href=""http://www.backupbc.com""><img src=""/images/icons/backupbc-profile-logo.png"" alt=""BackupBC Logo"" class=""img-responsive img-thumbnail""></a>

<p>Get all your data out of BC with a push of a button!</p>

<p><a href=""http://www.backupbc.com"" class=""btn btn-success col-lg-12"">Install BackupBC</a></p>

",16-Jan-2015,01-Jan-9999,99999,0,N, -1,,,,,,,
8752422,BC Exporter,"<h3><a href=""http://www.aidbc.com/BannerProcess.aspx?ID=20606&URL=https%3a%2f%2fwww.bcexporter.com"" target=""_blank"">BC Exporter</a></h3>

<a href=""http://www.aidbc.com/BannerProcess.aspx?ID=20606&URL=https%3a%2f%2fwww.bcexporter.com"" target=""_blank""><img src=""/images/icons/logo-noreflection-sq.png"" alt=""BC Exporter Logo"" class=""img-responsive img-thumbnail""></a>

<p>Get your data out of BC with one click!</p>

<p><a href=""http://www.aidbc.com/BannerProcess.aspx?ID=20606&URL=https%3a%2f%2fbackupbc.worldsecuresystems.com/exporter/register"" target=""_blank"" class=""btn btn-success col-lg-12"">Free Signup</a></p>

",17-May-2019,01-Jan-9999,9999999,0,Y, -1,,,,,,,
4835064,BC Partners,"                <h3><a href=""/bc-partners"">BC Partners</a></h3>

				<a href=""/bc-partners""><img src=""/images/icons/icon-tutorials.png"" alt=""Adobe Business Catalyst Partners"" class=""img-responsive img-thumbnail""></a>

                <p>Let us help you make the most of your BC Partnership.</p>

                <p><a href=""/bc-partners"" class=""btn btn-success col-lg-12"">Hire Us</a></p>


",16-Jan-2015,01-Jan-9999,10,0,N, -1,,,,,,,
4835062,BC Support,"                <h3><a href=""/business-catalyst"">BC Support</a></h3>

				<a href=""/business-catalyst""><img src=""/images/icons/bc-icon.png"" alt=""Business Catalyst Support"" class=""img-responsive img-thumbnail""></a>

                <p>Weâ€™re standing by to help you on your BC projects, big or small.</p>

                <p><a href=""/business-catalyst"" class=""btn btn-success col-lg-12"">Get Expert BC Help</a></p>

",16-Jan-2015,01-Jan-9999,,0,N, -1,,,,,,,
8104760,BC to Shopify,"<h3><a href=""/business-catalyst-migration/business-catalyst-to-shopify-migration"">BC to Shopify</a></h3>

<a href=""/business-catalyst-migration/business-catalyst-to-shopify-migration""><img src=""/images/icons/shopify-logo.png"" alt=""Expert Shopify Developers"" class=""img-responsive img-thumbnail""></a>

<p>Need Advanced e-commerce? Check out Shopify.</p>

<p><a href=""/business-catalyst-migration/business-catalyst-to-shopify-migration"" class=""btn btn-success col-lg-12"" title=""Hire a BC to Shopify Developer"">BC to Shopify</a></p>

",26-Mar-2018,01-Jan-9999,10,0,N, -1,,,,,,,
8752427,BC to WordPress,"                <h3><a href=""/business-catalyst-migration/business-catalyst-to-wordpress-migration"">BC to WordPress</a></h3>

				<a href=""/business-catalyst-migration/business-catalyst-to-wordpress-migration""><img src=""/images/icons/wordpress_W_logo.png"" alt=""Expert Weebly Cloud Partners"" class=""img-responsive img-thumbnail""></a>

                <p>Looking to move your BC site to WP? We can help.</p>

                <p><a href=""/business-catalyst-migration/business-catalyst-to-wordpress-migration"" class=""btn btn-success col-lg-12"" title=""Move from BC to WordPress"">BC to WordPress</a></p>

",17-May-2019,01-Jan-9999,10,0,Y, -1,,,,,,,
4835060,Free Consultation,"                <h3><a href=""/free-business-catalyst-consultation"">Free Consultation</a></h3>

				<a href=""/free-business-catalyst-consultation""><img src=""/images/icons/icon-news.png"" alt=""Free Adobe Muse and Business Catalyst Consultation"" class=""img-responsive img-thumbnail""></a>

                <p>Each week we offer limited free consultations. Book now!</p>

                <p><a href=""/free-business-catalyst-consultation"" class=""btn btn-success col-lg-12"">FREE Consultation</a></p>

",16-Jan-2015,01-Jan-9999,1,0,N, -1,,,,,,,
8114506,Migrate a BC site to Weebly Cloud,"                <h3><a href=""/business-catalyst-videos/migrating-a-bc-website-to-weebly-cloud-in-15-minutes"">Migrate a BC site to Weebly Cloud</a></h3>

				<a href=""/business-catalyst-videos/migrating-a-bc-website-to-weebly-cloud-in-15-minutes""><img src=""/images/icons/youtube-play.png"" alt=""Migrate a BC site to Weebly Cloud"" class=""img-responsive img-thumbnail""></a>

                <p>Watch me migrate a BC site to Weebly Cloud in 15 minutes!</p>


",02-Apr-2018,01-Jan-9999,10,0,N, -1,,,,,,,
8114511,Schedule a Consultation,"<h3><a href=""/business-catalyst-migration/paid-consultation"">Expert Consultation</a></h3>

				<a href=""/business-catalyst-migration/paid-consultation""><img src=""/images/icons/icon-news.png"" alt=""Schedule a Consultation"" class=""img-responsive img-thumbnail""></a>

                <p>Book an appointment with one of our specialists now!</p>

                <p><a href=""/business-catalyst-migration/paid-consultation"" class=""btn btn-success col-lg-12"">Book Now</a></p>

",02-Apr-2018,01-Jan-9999,1,0,Y, -1,,,,,,,
4835061,Tutorials,"<h3><a href=""/business-catalyst-muse-tutorials/"">Tutorials</a></h3> 
<a href=""/business-catalyst-muse-tutorials/"">
    <img src=""/images/icons/icon-tutorials.png"" alt=""Adobe Muse and Business Catalyst Tutorials"" class=""img-responsive img-thumbnail"">
</a>
<p>Our step-by-step tutorials teach you to become an expert.</p>
<p>
    <a href=""/business-catalyst-muse-tutorials/"" class=""btn btn-success col-lg-12"">Start Learning</a>
</p>
",16-Jan-2015,01-Jan-9999,,0,N, -1,,,,,,,
4916369,Webflow,"                <h3><a href=""/business-catalyst-migration/business-catalyst-to-webflow-migration"">BC to Webflow</a></h3>

				<a href=""/business-catalyst-migration/business-catalyst-to-webflow-migration""><img src=""/images/icons/webflow-logo.png"" alt=""Expert Webflow Developers"" class=""img-responsive img-thumbnail""></a>

                <p>Need a replacement for WebApps? Try Webflow.</p>

                <p><a href=""/business-catalyst-migration/business-catalyst-to-webflow-migration"" class=""btn btn-success col-lg-12"" title=""Webflow has WebApps"">BC to Webflow</a></p>

",24-Mar-2015,01-Jan-9999,5,0,N, -1,,,,,,,
8107099,Weebly Cloud,"                <h3><a href=""/business-catalyst-migration/business-catalyst-to-weebly-cloud-migration"">BC to Weebly Cloud</a></h3>

				<a href=""/business-catalyst-migration/business-catalyst-to-weebly-cloud-migration""><img src=""/images/icons/weebly-cloud-logo.png"" alt=""Expert Weebly Cloud Partners"" class=""img-responsive img-thumbnail""></a>

                <p>Looking for a BC replacement? We recommend Weebly Cloud.</p>

                <p><a href=""/business-catalyst-migration/business-catalyst-to-weebly-cloud-migration"" class=""btn btn-success col-lg-12"" title=""Move from BC to Weebly Cloud"">BC to Weebly Cloud</a></p>

",29-Mar-2018,01-Jan-9999,11,0,Y, -1,,,,,,,
